product_id,name,category,class,deployment,price,rating,stock_quantity,brand,tags,description
10000038,Modern Storage Box,Home Decor,Standard,Online,160.72,4.0,566,UrbanThread,"cell, around, off, benefit, kitchen",Modern Storage Box designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000039,WhiteSmoke Hoodie,Men Apparel,Budget,Warehouse,55.38,4.5,512,PeakFit,"century, officer, on, debate, necessary",WhiteSmoke Hoodie designed for comfort and everyday retail use. High-quality men apparel product suitable for modern lifestyle and seasonal campaigns.
10000040,SeaGreen Hoodie,Kids Apparel,Premium,Retail Store,299.43,3.7,138,StyleHive,"good, rule, first, civil, build",SeaGreen Hoodie designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000041,PaleGoldenRod Hoodie,Men Apparel,Budget,Online,189.83,4.3,41,UrbanThread,"generation, those, best, television, home",PaleGoldenRod Hoodie designed for comfort and everyday retail use. High-quality men apparel product suitable for modern lifestyle and seasonal campaigns.
10000042,BlueViolet Dress,Women Apparel,Standard,Online,259.15,4.3,417,ActivePulse,"toward, response, talk, through, store",BlueViolet Dress designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000043,Classic Cookware Set,Home Decor,Budget,Retail Store,349.95,3.7,184,LuxeWear,"memory, employee, feel, civil, poor",Classic Cookware Set designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000044,SaddleBrown Jeans,Kids Apparel,Standard,Omnichannel,144.03,4.5,282,NovaGear,"total, about, wish, none, item",SaddleBrown Jeans designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000045,Multi-tiered 24/7 groupware,Electronics Accessories,Premium,Retail Store,139.67,4.5,212,NovaGear,"could, far, draw, stand, everybody",Multi-tiered 24/7 groupware designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000046,PowderBlue Kurta,Kids Apparel,Standard,Retail Store,173.48,3.4,135,TrendAura,"common, watch, write, tonight, pressure",PowderBlue Kurta designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000047,DarkOliveGreen Sneakers,Footwear,Premium,Omnichannel,219.36,3.5,574,StyleHive,"only, weight, computer, society, remember",DarkOliveGreen Sneakers designed for comfort and everyday retail use. High-quality footwear product suitable for modern lifestyle and seasonal campaigns.
10000048,Eco Storage Box,Home Decor,Budget,Retail Store,249.92,3.5,568,StyleHive,"painting, song, test, test, successful",Eco Storage Box designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000049,Expanded dynamic service-desk,Beauty & Personal Care,Budget,Omnichannel,189.27,4.7,377,UrbanThread,"care, who, less, article, so",Expanded dynamic service-desk designed for comfort and everyday retail use. High-quality beauty & personal care product suitable for modern lifestyle and seasonal campaigns.
10000050,SeaShell Dress,Kids Apparel,Budget,Online,348.67,4.2,299,ActivePulse,"relate, leave, whose, mean, get",SeaShell Dress designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000051,Modern Lamp,Home Decor,Premium,Retail Store,222.08,3.7,100,ActivePulse,"chance, suffer, name, much, summer",Modern Lamp designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000052,LightBlue Top,Women Apparel,Budget,Online,57.26,3.9,100,NovaGear,"important, article, manager, every, reveal",LightBlue Top designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000053,Synergized 3rdgeneration Local Area Network,Sports & Outdoors,Premium,Retail Store,248.0,3.9,143,NovaGear,"choice, idea, probably, out, southern",Synergized 3rdgeneration Local Area Network designed for comfort and everyday retail use. High-quality sports & outdoors product suitable for modern lifestyle and seasonal campaigns.
10000054,Diverse tangible framework,Beauty & Personal Care,Standard,Omnichannel,33.1,4.1,276,TrendAura,"threat, wall, administration, threat, information",Diverse tangible framework designed for comfort and everyday retail use. High-quality beauty & personal care product suitable for modern lifestyle and seasonal campaigns.
10000055,Modern Lamp,Home Decor,Standard,Warehouse,261.93,4.4,106,SwiftStep,"here, for, start, imagine, able",Modern Lamp designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000056,Focused tertiary portal,Accessories,Premium,Warehouse,235.26,3.4,431,StyleHive,"mention, surface, church, between, measure",Focused tertiary portal designed for comfort and everyday retail use. High-quality accessories product suitable for modern lifestyle and seasonal campaigns.
10000057,Eco Cushion,Kitchenware,Budget,Online,276.01,4.7,377,TrendAura,"science, consumer, meeting, be, bar",Eco Cushion designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000058,Upgradable zero tolerance hub,Electronics Accessories,Budget,Retail Store,123.43,3.5,303,PeakFit,"also, life, where, try, argue",Upgradable zero tolerance hub designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000059,Universal zero administration flexibility,Beauty & Personal Care,Standard,Warehouse,39.04,4.1,18,ActivePulse,"oil, unit, should, teacher, fast",Universal zero administration flexibility designed for comfort and everyday retail use. High-quality beauty & personal care product suitable for modern lifestyle and seasonal campaigns.
10000060,Modern Cookware Set,Home Decor,Standard,Retail Store,187.46,4.5,309,NovaGear,"collection, treatment, American, your, exist",Modern Cookware Set designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000061,SlateBlue T-Shirt,Kids Apparel,Premium,Omnichannel,322.56,3.3,47,KraftHome,"successful, understand, him, prove, personal",SlateBlue T-Shirt designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000062,Turquoise Jeans,Men Apparel,Budget,Retail Store,312.84,4.0,585,StyleHive,"least, walk, else, lose, within",Turquoise Jeans designed for comfort and everyday retail use. High-quality men apparel product suitable for modern lifestyle and seasonal campaigns.
10000063,LavenderBlush T-Shirt,Kids Apparel,Standard,Omnichannel,131.6,3.6,536,SwiftStep,"wall, product, peace, expert, stop",LavenderBlush T-Shirt designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000064,Seamless upward-trending policy,Electronics Accessories,Premium,Omnichannel,21.46,5.0,219,TrendAura,"painting, case, focus, find, week",Seamless upward-trending policy designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000065,Up-sized non-volatile application,Electronics Accessories,Premium,Online,276.26,4.3,335,EverHome,"customer, serious, have, show, theory",Up-sized non-volatile application designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000066,Object-based high-level application,Electronics Accessories,Standard,Warehouse,29.36,3.8,285,ActivePulse,"low, since, simply, situation, thus",Object-based high-level application designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000067,Cornsilk Jeans,Kids Apparel,Premium,Retail Store,297.43,4.2,247,UrbanThread,"social, season, ok, worker, enjoy",Cornsilk Jeans designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000068,LightGoldenRodYellow Sneakers,Footwear,Premium,Warehouse,38.26,3.9,339,UrbanThread,"by, artist, available, wonder, station",LightGoldenRodYellow Sneakers designed for comfort and everyday retail use. High-quality footwear product suitable for modern lifestyle and seasonal campaigns.
10000069,Enhanced incremental database,Sports & Outdoors,Premium,Warehouse,42.29,4.9,491,StyleHive,"one, according, art, produce, paper",Enhanced incremental database designed for comfort and everyday retail use. High-quality sports & outdoors product suitable for modern lifestyle and seasonal campaigns.
10000070,BurlyWood Hoodie,Kids Apparel,Budget,Omnichannel,32.01,3.4,128,PeakFit,"friend, agreement, travel, investment, play",BurlyWood Hoodie designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000071,Organized mission-critical benchmark,Accessories,Standard,Online,137.88,3.7,299,StyleHive,"course, near, amount, magazine, matter",Organized mission-critical benchmark designed for comfort and everyday retail use. High-quality accessories product suitable for modern lifestyle and seasonal campaigns.
10000072,Smart Lamp,Home Decor,Budget,Online,345.83,4.6,308,StyleHive,"phone, enter, left, skin, score",Smart Lamp designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000073,Cross-platform fresh-thinking synergy,Electronics Accessories,Budget,Omnichannel,175.51,4.2,512,PeakFit,"suffer, two, determine, evidence, establish",Cross-platform fresh-thinking synergy designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000074,White Jacket,Women Apparel,Budget,Warehouse,180.35,3.3,262,SwiftStep,"bed, wear, nature, national, response",White Jacket designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000075,Mandatory hybrid task-force,Sports & Outdoors,Budget,Warehouse,200.04,4.7,557,KraftHome,"charge, fly, beat, yes, my",Mandatory hybrid task-force designed for comfort and everyday retail use. High-quality sports & outdoors product suitable for modern lifestyle and seasonal campaigns.
10000076,Blue Sneakers,Footwear,Premium,Online,121.52,4.7,240,NovaGear,"meet, prevent, around, everyone, answer",Blue Sneakers designed for comfort and everyday retail use. High-quality footwear product suitable for modern lifestyle and seasonal campaigns.
10000077,Olive T-Shirt,Kids Apparel,Standard,Retail Store,31.19,4.3,28,LuxeWear,"strong, oil, want, manage, season",Olive T-Shirt designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000078,Classic Wall Art,Kitchenware,Premium,Omnichannel,60.75,4.4,579,NovaGear,"set, employee, career, human, alone",Classic Wall Art designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000079,Open-architected tertiary access,Beauty & Personal Care,Premium,Online,196.92,4.0,177,StyleHive,"serve, over, cause, any, son",Open-architected tertiary access designed for comfort and everyday retail use. High-quality beauty & personal care product suitable for modern lifestyle and seasonal campaigns.
10000080,Modern Storage Box,Home Decor,Budget,Warehouse,91.04,3.6,186,KraftHome,"option, scientist, year, recognize, buy",Modern Storage Box designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000081,Vision-oriented zero-defect throughput,Sports & Outdoors,Budget,Retail Store,16.3,4.7,284,KraftHome,"find, identify, mind, drop, hot",Vision-oriented zero-defect throughput designed for comfort and everyday retail use. High-quality sports & outdoors product suitable for modern lifestyle and seasonal campaigns.
10000082,Classic Storage Box,Home Decor,Premium,Online,314.64,4.2,316,SwiftStep,"someone, become, prevent, environmental, imagine",Classic Storage Box designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000083,Smart Wall Art,Kitchenware,Standard,Warehouse,104.53,3.8,343,EverHome,"task, country, training, idea, good",Smart Wall Art designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000084,Smart Lamp,Kitchenware,Standard,Online,169.53,4.2,167,LuxeWear,"mouth, mother, coach, time, bank",Smart Lamp designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000085,Synergized asymmetric emulation,Sports & Outdoors,Budget,Omnichannel,310.38,4.2,300,PeakFit,"side, special, prove, system, still",Synergized asymmetric emulation designed for comfort and everyday retail use. High-quality sports & outdoors product suitable for modern lifestyle and seasonal campaigns.
10000086,Cyan Top,Women Apparel,Standard,Omnichannel,46.52,4.9,229,LuxeWear,"president, none, art, break, question",Cyan Top designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000087,Open-source executive flexibility,Electronics Accessories,Budget,Warehouse,303.96,4.9,346,StyleHive,"since, account, chance, house, organization",Open-source executive flexibility designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000088,De-engineered grid-enabled concept,Sports & Outdoors,Budget,Omnichannel,344.24,4.9,291,StyleHive,"cover, chair, change, side, fish",De-engineered grid-enabled concept designed for comfort and everyday retail use. High-quality sports & outdoors product suitable for modern lifestyle and seasonal campaigns.
10000089,MediumVioletRed Kurta,Women Apparel,Budget,Warehouse,146.77,3.3,28,TrendAura,"have, explain, head, may, suffer",MediumVioletRed Kurta designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000090,Organic reciprocal service-desk,Electronics Accessories,Standard,Omnichannel,210.64,4.0,550,EverHome,"science, add, top, strategy, necessary",Organic reciprocal service-desk designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000091,Fully-configurable non-volatile encoding,Electronics Accessories,Premium,Online,338.09,4.1,373,StyleHive,"manage, determine, among, this, with",Fully-configurable non-volatile encoding designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000092,Classic Cookware Set,Home Decor,Standard,Warehouse,60.82,3.5,157,KraftHome,"same, partner, thus, model, sometimes",Classic Cookware Set designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000093,BlueViolet Dress,Women Apparel,Premium,Omnichannel,215.25,4.0,408,KraftHome,"whose, thus, receive, left, might",BlueViolet Dress designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000094,AliceBlue Boots,Footwear,Budget,Online,179.82,4.2,558,StyleHive,"common, three, other, phone, game",AliceBlue Boots designed for comfort and everyday retail use. High-quality footwear product suitable for modern lifestyle and seasonal campaigns.
10000095,DimGray Sneakers,Footwear,Standard,Retail Store,167.63,4.6,296,StyleHive,"conference, important, rate, she, financial",DimGray Sneakers designed for comfort and everyday retail use. High-quality footwear product suitable for modern lifestyle and seasonal campaigns.
10000096,MidnightBlue Sandals,Footwear,Premium,Omnichannel,325.52,4.5,350,StyleHive,"article, simply, available, compare, nearly",MidnightBlue Sandals designed for comfort and everyday retail use. High-quality footwear product suitable for modern lifestyle and seasonal campaigns.
10000097,DarkTurquoise Top,Women Apparel,Standard,Online,305.3,4.4,51,TrendAura,"south, of, inside, side, election",DarkTurquoise Top designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000098,Pre-emptive directional parallelism,Electronics Accessories,Budget,Online,290.15,5.0,339,KraftHome,"even, start, good, treat, serve",Pre-emptive directional parallelism designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000099,PaleVioletRed Top,Kids Apparel,Budget,Warehouse,247.15,4.8,220,UrbanThread,"begin, effort, that, what, fine",PaleVioletRed Top designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000100,HotPink Jacket,Men Apparel,Standard,Retail Store,337.25,4.2,409,ActivePulse,"follow, would, game, whole, interesting",HotPink Jacket designed for comfort and everyday retail use. High-quality men apparel product suitable for modern lifestyle and seasonal campaigns.
